"","X.1","X","ï..DATE","TIME","BOROUGH","ZIP.CODE","LATITUDE","LONGITUDE","LOCATION","ON.STREET.NAME","CROSS.STREET.NAME","OFF.STREET.NAME","NUMBER.OF.PERSONS.INJURED","NUMBER.OF.PERSONS.KILLED","NUMBER.OF.PEDESTRIANS.INJURED","NUMBER.OF.PEDESTRIANS.KILLED","NUMBER.OF.CYCLIST.INJURED","NUMBER.OF.CYCLIST.KILLED","NUMBER.OF.MOTORIST.INJURED","NUMBER.OF.MOTORIST.KILLED","CONTRIBUTING.FACTOR.VEHICLE.1","CONTRIBUTING.FACTOR.VEHICLE.2","CONTRIBUTING.FACTOR.VEHICLE.3","CONTRIBUTING.FACTOR.VEHICLE.4","CONTRIBUTING.FACTOR.VEHICLE.5","UNIQUE.KEY","VEHICLE.TYPE.CODE.1","VEHICLE.TYPE.CODE.2","VEHICLE.TYPE.CODE.3","VEHICLE.TYPE.CODE.4","VEHICLE.TYPE.CODE.5","number_vehicles_involved"
"831",1233,6744,"11/04/2016","19:11","QUEENS",11372,40.7490628,-73.8703788,"(40.7490628, -73.8703788)","WARREN STREET","ROOSEVELT AVENUE",,2,0,0,0,2,0,0,0,"Failure to Yield Right-of-Way","Unspecified",,,,3554410,"PASSENGER VEHICLE","BICYCLE",,,,2
"832",1235,6749,"11/04/2016","1:11","BROOKLYN",11207,40.6527684,-73.8862898,"(40.6527684, -73.8862898)","PENNSYLVANIA AVENUE","FLATLANDS AVENUE",,1,0,0,0,0,0,1,0,"Driver Inexperience","Driver Inattention/Distraction",,,,3554593,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"833",1237,6753,"11/04/2016","20:11","BROOKLYN",11236,40.6417288,-73.9076365,"(40.6417288, -73.9076365)","REMSEN AVENUE","GLENWOOD ROAD",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Unspecified",,,,3554753,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"834",1239,6755,"11/04/2016","20:11","MANHATTAN",10016,40.7476292,-73.9767362,"(40.7476292, -73.9767362)","3 AVENUE","EAST 37 STREET",,0,0,0,0,0,0,0,0,"Driver Inattention/Distraction","Driver Inattention/Distraction",,,,3554112,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",,,,2
"835",1241,6757,"11/04/2016","20:11","QUEENS",11432,40.7077158,-73.802787,"(40.7077158, -73.802787)","HILLSIDE AVENUE","PARSONS BOULEVARD",,0,0,0,0,0,0,0,0,"Turning Improperly","Unspecified",,,,3554037,"PASSENGER VEHICLE","PASSENGER VEHICLE",,,,2
"836",1243,6759,"08/11/2016","12:08","MANHATTAN",10016,40.7457274,-73.9781227,"(40.7457274, -73.9781227)","3 AVENUE","EAST 34 STREET",,0,0,0,0,0,0,0,0,"Other Vehicular","Other Vehicular",,,,3538628,"PASSENGER VEHICLE","BICYCLE",,,,2
"837",1244,6764,"11/04/2016","20:11","BRONX",10452,40.8442372,-73.9236232,"(40.8442372, -73.9236232)","UNIVERSITY AVENUE","OGDEN AVENUE",,1,0,0,0,0,0,1,0,"Failure to Yield Right-of-Way","Unspecified",,,,3554863,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",,,,2
"838",1245,6765,"11/04/2016","20:11","BROOKLYN",11212,40.6600305,-73.9217869,"(40.6600305, -73.9217869)","EAST 95 STREET","CLARKSON AVENUE",,1,0,1,0,0,0,0,0,"Failure to Yield Right-of-Way",,,,,3555145,"PASSENGER VEHICLE",,,,,1
"839",1246,6766,"11/04/2016","20:11","QUEENS",11106,40.7628236,-73.9202836,"(40.7628236, -73.9202836)","31 AVENUE","35 STREET",,1,0,0,0,1,0,0,0,"Driver Inattention/Distraction","Unspecified","Unspecified",,,3554080,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE","BICYCLE",,,3
"840",1247,6767,"11/04/2016","20:11","QUEENS",11435,40.6954593,-73.8053548,"(40.6954593, -73.8053548)","LIBERTY AVENUE","WALTHAM STREET",,1,0,1,0,0,0,0,0,"Unspecified",,,,,3554787,"PASSENGER VEHICLE",,,,,1
